"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"161410591",4,4,3,2,2,4,2,3,3,3,1,1,2,1,1,2,1,4,2,4,2,1,1,2,1,2,1,2,2,2
"161416480",5,5,4,1,1,4,4,4,3,1,2,2,2,2,2,2,2,2,1,3,2,1,1,2,2,2,2,1,1,1
"161429042",2,2,2,1,1,2,4,4,3,2,2,2,2,1,1,2,1,4,2,1,2,1,1,2,2,2,2,2,1,1
"161434016",3,2,3,1,1,1,4,3,1,1,1,2,2,1,2,2,4,2,1,2,2,1,2,2,2,1,2,2,1,1
"161435052",5,5,5,1,2,4,4,4,2,5,2,1,1,1,1,1,1,5,2,4,1,2,2,1,,,1,1,2,2
"161442287",3,1,2,2,2,2,2,2,1,5,2,2,2,1,2,2,4,4,1,3,2,2,2,2,2,1,2,2,1,1
"161442978",3,2,2,3,2,2,3,2,1,1,1,2,2,2,2,2,4,3,1,2,2,1,2,2,2,2,2,1,1,1
"161443578",3,2,4,2,2,4,4,2,3,3,1,1,1,1,2,2,2,4,1,4,2,1,2,2,1,1,1,1,2,1
"161443768",5,4,5,2,1,4,4,4,3,4,1,1,1,2,1,1,3,5,2,3,1,2,1,1,1,1,1,1,2,1
"161445505",3,3,2,2,2,1,1,1,1,2,1,2,2,2,2,2,3,4,1,1,2,2,2,2,2,2,1,2,2,1
"161446152",3,5,2,1,2,2,4,3,1,2,2,2,2,1,2,2,2,3,1,3,2,2,1,2,2,2,2,1,1,1
"161447450",4,3,4,2,2,4,4,2,2,4,2,1,1,1,1,1,3,5,1,4,1,1,2,1,1,1,1,1,2,1
"161449334",3,3,3,1,1,2,4,4,1,1,1,2,2,2,2,2,4,3,1,1,2,2,1,2,2,1,2,2,1,1
"161450331",2,2,2,1,2,1,4,2,1,2,1,2,2,2,2,2,4,2,1,2,2,1,1,2,2,2,1,1,1,1
"161452998",2,2,2,1,2,1,4,4,1,2,1,2,2,1,2,2,3,1,1,2,2,2,1,2,2,2,2,1,1,1
"161454814",2,3,1,1,2,1,4,2,3,2,2,2,2,1,2,2,4,2,2,1,2,2,2,2,2,2,2,1,1,1
"161454873",1,2,1,1,1,1,4,3,1,1,1,1,2,1,1,2,4,5,1,1,2,2,1,2,2,2,2,1,1,1
"161455247",5,4,4,1,1,4,3,4,1,1,2,1,2,1,1,1,2,2,2,3,2,2,1,2,1,2,1,1,2,2
"161457018",2,1,1,1,1,1,3,2,1,1,1,2,2,1,2,2,4,1,1,1,2,2,1,,2,2,2,2,1,1
"161459596",4,3,4,3,2,4,2,4,3,4,2,1,1,1,1,1,2,5,2,4,1,2,2,1,1,1,1,1,2,2
"161460227",3,5,2,1,2,2,3,4,1,2,1,1,1,1,1,1,4,2,1,2,2,2,2,2,2,2,1,2,2,1
"161461684",4,3,4,3,2,4,4,2,1,3,2,1,2,1,1,1,4,2,1,3,,1,2,2,2,1,2,1,1,1
"161461796",3,3,2,3,3,1,2,2,1,2,1,2,2,1,1,2,4,1,1,3,1,2,2,2,2,2,,1,1,1
"161461936",2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,3,1,1,2,2,1,1,2,2,1,2,,1,1
"161464607",2,4,2,1,1,1,4,2,1,2,1,2,2,2,2,2,4,2,1,2,2,1,2,2,2,1,2,2,1,1
"161464866",4,4,4,1,2,4,4,4,3,4,2,1,1,1,2,2,1,4,2,4,2,2,,,1,1,,1,2,2
"161465653",2,2,2,1,1,1,4,3,1,1,1,2,2,1,2,2,4,1,1,2,2,1,1,2,2,1,2,2,1,1
"161465972",3,5,3,1,1,2,3,5,1,4,1,2,2,1,2,2,4,4,1,3,2,1,1,2,2,2,2,1,1,1
"161466569",5,4,5,2,2,4,3,4,2,5,2,1,1,1,2,2,2,5,2,4,1,1,1,,1,1,1,1,2,2
